I, [2018-06-29T07:42:39.343411 #14040]  INFO -- default-ubuntu-1404: -----> Destroying <default-ubuntu-1404>...
E, [2018-06-29T07:42:40.260557 #14040] ERROR -- default-ubuntu-1404: Destroy failed on instance <default-ubuntu-1404>.
E, [2018-06-29T07:42:40.261074 #14040] ERROR -- default-ubuntu-1404: ------Exception-------
E, [2018-06-29T07:42:40.261101 #14040] ERROR -- default-ubuntu-1404: Class: Aws::EC2::Errors::InvalidInstanceIDNotFound
E, [2018-06-29T07:42:40.261114 #14040] ERROR -- default-ubuntu-1404: Message: The instance ID 'i-0173c946959b0fca4' does not exist
E, [2018-06-29T07:42:40.261123 #14040] ERROR -- default-ubuntu-1404: ----------------------
E, [2018-06-29T07:42:40.261132 #14040] ERROR -- default-ubuntu-1404: ------Backtrace-------
E, [2018-06-29T07:42:40.261158 #14040] ERROR -- default-ubuntu-1404: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/aws-sdk-core-2.7.3/lib/seahorse/client/plugins/raise_response_errors.rb:15:in `call'
E, [2018-06-29T07:42:40.261171 #14040] ERROR -- default-ubuntu-1404: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/aws-sdk-core-2.7.3/lib/aws-sdk-core/plugins/idempotency_token.rb:18:in `call'
E, [2018-06-29T07:42:40.261181 #14040] ERROR -- default-ubuntu-1404: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/aws-sdk-core-2.7.3/lib/aws-sdk-core/plugins/param_converter.rb:20:in `call'
E, [2018-06-29T07:42:40.261190 #14040] ERROR -- default-ubuntu-1404: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/aws-sdk-core-2.7.3/lib/seahorse/client/plugins/response_target.rb:21:in `call'
E, [2018-06-29T07:42:40.261204 #14040] ERROR -- default-ubuntu-1404: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/aws-sdk-core-2.7.3/lib/seahorse/client/request.rb:70:in `send_request'
E, [2018-06-29T07:42:40.261215 #14040] ERROR -- default-ubuntu-1404: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/aws-sdk-core-2.7.3/lib/seahorse/client/base.rb:207:in `block (2 levels) in define_operation_methods'
E, [2018-06-29T07:42:40.261225 #14040] ERROR -- default-ubuntu-1404: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/aws-sdk-resources-2.7.3/lib/aws-sdk-resources/request.rb:24:in `call'
